Ingresos_Mensuales,Gastos_Mensuales,Deudas_Activas,Historial_Credito,Edad,Tiene_Tarjeta_Credito,Nivel_Educacion,Inversiones_Activas,Riesgo_Financiero
3397.37,2555.71,3,Regular,37,1,Superior,1,Medio
2889.39,3145.65,0,Bueno,59,0,Superior,1,Bajo
3518.15,1160.86,2,Regular,29,0,Superior,0,Medio
4218.42,2337.78,4,Regular,55,1,Superior,0,Medio
2812.68,1609.61,2,Bueno,33,1,Superior,2,Bajo
2812.69,1707.72,2,Malo,35,0,Medio,1,Alto
4263.37,1644.56,0,Regular,38,0,Medio,0,Medio
3613.95,1481.61,0,Regular,53,1,Superior,2,Medio
2624.42,2029.11,0,Bueno,26,0,Básico,0,Bajo
3434.05,1501.43,1,Bueno,47,1,Superior,0,Bajo
2629.27,2162.27,3,Bueno,43,1,Básico,1,Medio
2627.42,1969.86,1,Bueno,47,1,Medio,1,Bajo
3193.57,1856.63,3,Bueno,54,0,Superior,0,Medio
1469.38,1455.46,3,Regular,58,0,Medio,0,Medio
1620.07,1653.94,2,Bueno,34,1,Medio,1,Bajo
2550.17,2453.23,2,Bueno,56,0,Medio,2,Bajo
2189.74,2300.55,3,Malo,28,0,Superior,1,Alto
3251.4,1413.47,3,Regular,55,0,Básico,0,Medio
2273.58,2059.6,1,Bueno,39,0,Superior,2,Bajo
1870.16,2450.83,1,Regular,50,0,Básico,0,Medio
4172.52,998.36,2,Bueno,34,0,Superior,2,Bajo
2819.38,2326.02,0,Bueno,40,0,Superior,0,Bajo
3054.02,1602.43,3,Regular,45,1,Medio,2,Medio
1860.2,2342.36,1,Bueno,60,0,Medio,2,Bajo
2564.49,1542.04,2,Bueno,44,0,Medio,0,Bajo
3088.74,917.07,1,Bueno,34,0,Superior,2,Bajo
2079.21,1023.47,3,Bueno,46,0,Básico,1,Medio
3300.56,2028.85,3,Bueno,58,0,Básico,0,Medio
2519.49,2155.83,4,Bueno,43,0,Básico,1,Medio
2766.65,1457.41,0,Regular,42,0,Medio,0,Medio
2518.63,2383.16,4,Regular,39,0,Medio,2,Medio
4481.82,1003.09,2,Bueno,23,1,Superior,2,Bajo
2989.2,1960.35,1,Bueno,62,0,Superior,2,Bajo
2153.83,1273.39,2,Bueno,39,0,Medio,0,Bajo
3658.04,1608.9,3,Bueno,29,0,Medio,1,Medio
2023.33,2028.44,4,Regular,48,0,Medio,1,Alto
3167.09,1483.75,4,Bueno,40,1,Superior,0,Medio
1432.26,1769.27,4,Bueno,27,1,Superior,0,Alto
1937.45,2603.78,2,Regular,34,1,Superior,1,Medio
3157.49,1653.86,3,Regular,29,1,Superior,1,Medio
3590.77,2501.42,1,Regular,39,1,Básico,1,Medio
3137.09,1322.18,1,Bueno,34,1,Superior,1,Bajo
2907.48,2317.88,2,Bueno,58,1,Superior,0,Bajo
2759.12,2864.94,4,Bueno,56,1,Medio,0,Medio
1817.18,517.01,0,Bueno,60,1,Superior,2,Bajo
2424.12,1521.86,2,Regular,37,1,Básico,1,Medio
2631.49,2346.24,2,Regular,50,1,Superior,2,Medio
3845.7,1878.17,3,Regular,29,1,Medio,0,Medio
3274.89,2222.69,1,Regular,53,1,Medio,0,Medio
1589.57,1637.61,2,Bueno,45,1,Superior,2,Bajo
3259.27,2051.95,2,Regular,34,1,Medio,1,Medio
2691.93,1906.59,4,Bueno,31,1,Medio,1,Medio
2458.46,2700.67,4,Bueno,55,0,Medio,1,Alto
3489.34,2152.65,0,Bueno,61,1,Superior,1,Bajo
3824.8,2202.56,3,Bueno,34,0,Básico,2,Medio
3745.02,1752.87,0,Bueno,50,1,Medio,2,Bajo
2328.63,1707.44,4,Malo,61,1,Superior,0,Alto
2752.63,1740.47,1,Bueno,24,0,Superior,1,Bajo
3265.01,2236.67,4,Bueno,24,1,Medio,1,Medio
3780.44,1747.41,3,Bueno,48,0,Superior,1,Medio
2616.66,2173.86,4,Regular,28,0,Superior,2,Medio
2851.47,3245.24,3,Bueno,22,0,Superior,1,Medio
2114.93,2522.67,3,Regular,61,1,Medio,2,Medio
2043.03,1804.39,3,Bueno,42,1,Medio,1,Medio
3650.02,2720.73,3,Regular,61,1,Medio,1,Medio
4084.99,1755.15,3,Bueno,36,0,Medio,0,Medio
2942.39,777.13,1,Regular,49,0,Medio,1,Medio
3802.83,1395.15,0,Regular,50,1,Básico,1,Medio
3289.31,877.52,2,Bueno,32,1,Superior,0,Bajo
2483.9,1789.09,0,Bueno,55,1,Medio,2,Bajo
3289.12,2011.05,3,Bueno,31,1,Medio,2,Medio
4230.43,3005.86,1,Bueno,41,1,Superior,1,Bajo
2971.34,2196.16,4,Bueno,41,0,Medio,2,Medio
4251.71,1868.54,1,Regular,25,0,Básico,1,Medio
904.2,2497.64,3,Bueno,40,0,Superior,0,Medio
3657.52,673.32,1,Bueno,57,1,Básico,0,Bajo
3069.64,2141.37,1,Bueno,23,0,Superior,1,Bajo
2760.79,2462.52,3,Bueno,64,0,Superior,0,Medio
3073.41,1112.85,1,Regular,53,0,Medio,0,Medio
1409.94,2686.25,2,Bueno,29,0,Superior,1,Bajo
2824.26,2203.1,2,Regular,29,0,Medio,1,Medio
3285.69,1750.83,1,Regular,24,1,Medio,0,Medio
4182.32,2379.67,4,Regular,55,0,Básico,2,Medio
2585.38,3362.42,3,Regular,37,1,Medio,2,Medio
2353.21,2109.12,2,Bueno,54,1,Superior,1,Bajo
2598.59,2148.93,4,Malo,44,1,Medio,1,Alto
3732.32,1724.38,1,Bueno,52,1,Medio,2,Bajo
3263.0,1490.09,4,Bueno,21,1,Medio,0,Medio
2576.19,2498.2,0,Regular,28,0,Medio,2,Medio
3410.61,1486.35,2,Malo,43,0,Básico,2,Alto
3077.66,2042.94,1,Regular,60,1,Medio,2,Medio
3774.92,1713.41,3,Bueno,32,1,Superior,2,Medio
2438.36,2287.39,1,Bueno,32,1,Medio,1,Bajo
2737.87,2200.2,3,Malo,35,0,Medio,1,Alto
2686.31,2622.52,1,Bueno,61,1,Básico,0,Bajo
1829.19,1693.99,4,Regular,39,0,Medio,0,Alto
3236.9,1838.08,4,Regular,46,1,Superior,0,Medio
3208.84,1412.74,4,Bueno,49,0,Básico,0,Medio
3004.09,1733.42,0,Bueno,42,1,Básico,2,Bajo
2812.33,2226.38,3,Bueno,60,0,Medio,1,Medio
1867.7,2454.19,4,Bueno,41,1,Superior,1,Alto
2663.48,1446.7,0,Regular,58,0,Superior,0,Medio
2725.83,2521.76,3,Bueno,40,0,Medio,0,Medio
2358.18,2813.38,1,Regular,49,0,Superior,2,Medio
2870.97,2248.06,0,Bueno,24,0,Superior,2,Bajo
3323.24,3126.08,2,Malo,27,0,Superior,0,Alto
4508.95,1535.73,0,Bueno,48,0,Superior,1,Bajo
3139.66,1253.21,0,Bueno,48,0,Medio,1,Bajo
3206.04,932.77,3,Bueno,24,1,Medio,1,Medio
2940.44,2897.63,1,Regular,42,1,Básico,0,Medio
1464.98,2392.62,2,Regular,32,1,Medio,1,Medio
2978.79,1966.65,4,Regular,23,1,Superior,2,Medio
3048.18,2167.98,4,Bueno,42,1,Medio,2,Medio
4970.59,1324.71,0,Bueno,64,0,Medio,0,Bajo
2846.11,3467.45,3,Bueno,22,0,Superior,2,Medio
3241.24,2077.53,3,Bueno,44,0,Medio,0,Medio
2972.23,2065.64,4,Bueno,54,0,Básico,1,Medio
2065.06,2435.46,2,Malo,47,0,Medio,1,Alto
3914.26,2288.61,1,Malo,61,1,Medio,1,Alto
3601.55,2134.33,2,Malo,21,1,Superior,2,Alto
3632.83,1525.72,1,Regular,28,1,Básico,0,Medio
2272.49,2282.88,4,Bueno,43,1,Medio,1,Alto
4122.24,3129.21,1,Bueno,58,0,Medio,0,Bajo
1878.52,2807.25,3,Bueno,26,0,Medio,1,Medio
3469.49,2955.91,0,Regular,42,0,Superior,2,Medio
4752.36,1693.27,0,Bueno,45,1,Medio,2,Bajo
2207.57,1406.24,4,Bueno,38,0,Medio,0,Alto
2546.96,1924.53,3,Bueno,37,1,Superior,2,Medio
3079.72,2033.43,2,Bueno,32,0,Superior,2,Bajo
2597.22,2656.51,3,Regular,26,0,Básico,0,Medio
1759.47,984.52,0,Regular,46,1,Medio,1,Medio
3054.85,2917.73,0,Bueno,47,0,Superior,2,Bajo
2150.16,1905.2,3,Malo,28,0,Superior,0,Alto
3378.87,1743.87,3,Regular,39,1,Básico,2,Medio
2264.46,1392.74,0,Bueno,62,0,Superior,2,Bajo
4239.95,1007.09,2,Bueno,21,1,Medio,2,Bajo
2373.4,2493.9,4,Bueno,49,0,Básico,2,Alto
2742.35,2043.99,4,Bueno,55,0,Básico,0,Medio
3650.81,1226.02,3,Malo,60,0,Básico,0,Alto
2015.31,1222.95,4,Bueno,34,0,Superior,0,Alto
3181.97,1798.53,0,Regular,55,0,Básico,2,Medio
4045.71,3001.41,0,Bueno,40,0,Básico,2,Bajo
1714.01,1844.25,3,Bueno,33,0,Superior,2,Medio
3147.71,1098.11,3,Bueno,58,0,Medio,0,Medio
3207.91,1852.55,3,Bueno,28,1,Básico,2,Medio
3625.46,1836.37,2,Bueno,63,1,Básico,1,Bajo
2010.44,381.87,4,Malo,40,0,Básico,2,Alto
1943.63,1967.42,3,Bueno,53,0,Medio,1,Medio
3417.55,1861.44,1,Regular,46,1,Superior,2,Medio
3237.59,2417.72,1,Bueno,59,0,Básico,0,Bajo
3200.39,3109.37,0,Bueno,41,0,Básico,2,Bajo
3277.16,2675.94,4,Bueno,62,1,Superior,1,Medio
2455.98,1838.67,3,Bueno,63,0,Superior,1,Medio
3185.8,1336.08,1,Bueno,61,0,Medio,2,Bajo
3234.46,3544.02,4,Bueno,29,1,Medio,1,Medio
2428.52,2035.53,0,Bueno,44,0,Medio,1,Bajo
4492.62,2008.36,2,Bueno,57,0,Medio,0,Bajo
3379.07,1985.52,4,Bueno,61,1,Medio,2,Medio
2046.96,2118.85,4,Bueno,37,0,Medio,2,Alto
3525.24,1913.38,2,Malo,44,1,Superior,2,Alto
2220.25,1655.8,4,Regular,41,0,Básico,1,Alto
3629.67,1671.88,0,Bueno,59,0,Superior,2,Bajo
3926.88,1980.35,0,Bueno,61,1,Básico,2,Bajo
2343.45,1673.95,2,Malo,59,1,Superior,0,Alto
3770.7,1572.29,3,Regular,33,0,Superior,0,Medio
3330.22,2063.86,1,Bueno,31,1,Superior,0,Bajo
3657.65,1847.01,3,Regular,39,1,Básico,1,Medio
4517.43,2902.4,4,Bueno,31,0,Medio,2,Medio
2803.69,409.42,1,Bueno,33,0,Medio,0,Bajo
2397.01,2654.9,2,Regular,21,0,Superior,0,Medio
2288.39,2747.65,2,Bueno,60,1,Medio,0,Bajo
2347.35,755.97,1,Malo,64,1,Medio,2,Alto
2938.32,1794.39,0,Regular,39,1,Medio,2,Medio
3272.92,1777.14,1,Bueno,32,1,Medio,2,Bajo
3221.35,1155.49,4,Bueno,28,0,Medio,1,Medio
3661.75,1533.31,0,Bueno,28,1,Básico,1,Bajo
3010.4,1333.65,2,Bueno,32,0,Superior,0,Bajo
4162.83,3051.36,1,Regular,53,1,Superior,2,Medio
2788.27,2561.41,3,Bueno,46,0,Superior,0,Medio
5176.14,2762.93,3,Bueno,59,0,Medio,2,Medio
3500.53,2433.0,4,Regular,48,0,Superior,2,Medio
2314.27,1322.57,3,Bueno,25,1,Superior,2,Medio
2143.29,1685.29,1,Regular,28,0,Superior,1,Medio
3385.98,2293.62,1,Bueno,45,0,Superior,1,Bajo
2821.23,1266.72,3,Malo,47,1,Medio,2,Alto
3571.2,2427.8,1,Bueno,43,0,Superior,0,Bajo
3378.59,1855.8,4,Bueno,50,1,Medio,2,Medio
2941.74,1775.11,0,Bueno,43,1,Básico,2,Bajo
2322.57,2426.58,4,Bueno,40,0,Medio,0,Alto
1788.12,2266.56,4,Regular,38,0,Superior,2,Alto
2642.79,1783.42,1,Regular,38,1,Superior,0,Medio
3685.12,2695.6,0,Regular,22,0,Superior,1,Medio
3171.27,1351.36,1,Bueno,24,1,Superior,1,Bajo
2003.41,2369.56,2,Bueno,50,1,Medio,0,Bajo
3138.54,2355.86,1,Bueno,53,1,Básico,1,Bajo
3308.25,1814.27,1,Bueno,56,0,Básico,1,Bajo
2292.91,2195.68,1,Regular,38,1,Básico,0,Medio
3122.98,1249.33,0,Bueno,57,0,Medio,1,Bajo
3046.57,2554.42,1,Bueno,39,0,Básico,2,Bajo
2085.62,1889.06,0,Bueno,48,0,Medio,2,Bajo
3286.23,1686.37,3,Regular,60,0,Superior,0,Medio
3448.63,2629.41,2,Regular,40,1,Medio,1,Medio
3866.44,1577.39,0,Regular,53,0,Superior,2,Medio
3843.04,1154.92,3,Bueno,32,1,Superior,2,Medio
1897.86,1066.02,0,Bueno,35,1,Medio,1,Bajo
2249.74,2363.61,0,Regular,61,0,Medio,1,Medio
3412.03,1231.74,2,Regular,59,1,Básico,2,Medio
3411.03,3052.88,4,Bueno,22,1,Medio,2,Medio
3412.04,750.84,4,Regular,49,0,Superior,0,Medio
6082.19,3017.87,0,Regular,61,1,Básico,0,Medio
3456.71,2126.61,1,Regular,30,1,Medio,2,Medio
3908.45,1941.97,3,Regular,22,1,Medio,0,Medio
3763.2,1673.05,1,Bueno,31,1,Superior,2,Bajo
3521.11,2239.48,1,Bueno,33,0,Superior,2,Bajo
2747.78,1977.42,0,Bueno,30,1,Superior,0,Bajo
3607.18,2661.98,0,Regular,34,1,Básico,0,Medio
2381.74,2068.54,0,Regular,38,1,Superior,1,Medio
2810.55,2090.18,0,Regular,29,1,Superior,1,Medio
2611.71,1781.83,4,Bueno,59,0,Superior,1,Medio
3065.5,1965.83,0,Regular,48,1,Superior,2,Medio
4851.73,2184.68,4,Regular,23,0,Medio,0,Medio
1506.19,973.9,4,Regular,40,1,Superior,2,Alto
3549.01,1191.09,0,Regular,26,0,Superior,0,Medio
1709.83,2445.96,2,Regular,47,0,Básico,2,Medio
2622.45,2102.52,3,Bueno,22,0,Medio,1,Medio
3871.16,1889.61,1,Bueno,49,0,Superior,1,Bajo
3051.42,2011.06,4,Bueno,58,0,Básico,1,Medio
2137.8,2208.55,3,Bueno,23,1,Medio,2,Medio
2427.76,1676.14,2,Regular,36,1,Superior,0,Medio
3543.68,1533.02,1,Regular,50,1,Medio,0,Medio
2415.71,2117.51,1,Bueno,60,0,Básico,1,Bajo
3173.17,1412.98,4,Bueno,22,1,Medio,1,Medio
3036.46,2244.95,0,Regular,37,0,Medio,1,Medio
2478.72,978.45,2,Bueno,61,0,Medio,1,Bajo
4715.16,2617.49,4,Bueno,32,1,Básico,0,Medio
3507.14,2283.56,2,Bueno,55,1,Superior,2,Bajo
1379.89,2153.62,0,Bueno,63,0,Medio,2,Bajo
3149.16,2589.61,0,Bueno,21,0,Superior,2,Bajo
2470.57,2999.28,4,Bueno,35,1,Superior,2,Alto
3681.95,2608.62,0,Bueno,46,1,Medio,1,Bajo
2365.98,895.48,3,Regular,57,1,Superior,1,Medio
2908.21,1232.25,1,Bueno,41,1,Básico,1,Bajo
3403.99,1625.11,4,Regular,51,0,Medio,2,Medio
3692.6,2015.65,2,Bueno,45,1,Básico,1,Bajo
2039.76,2310.6,3,Bueno,43,1,Superior,1,Medio
2732.4,1564.55,4,Regular,44,1,Básico,0,Medio
2620.04,2112.06,0,Bueno,58,0,Medio,0,Bajo
