Ingresos_Mensuales,Gastos_Mensuales,Deudas_Activas,Historial_Credito,Edad,Tiene_Tarjeta_Credito,Nivel_Educacion,Inversiones_Activas,Riesgo_Financiero
2477.34,1546.77,0,Bueno,48,0,Superior,1,Bajo
4412.36,1633.09,0,Bueno,41,0,Medio,0,Bajo
3323.99,1156.0,0,Regular,63,0,Básico,0,Medio
1991.29,1446.06,2,Bueno,38,1,Medio,1,Bajo
3734.29,1188.99,3,Bueno,56,0,Superior,1,Medio
4697.72,1414.48,1,Regular,55,1,Superior,1,Medio
3825.97,2632.19,2,Bueno,29,1,Medio,1,Bajo
1784.5,1430.36,2,Regular,58,1,Medio,2,Medio
2612.61,3579.43,1,Regular,50,1,Medio,2,Medio
4013.53,2295.99,1,Malo,64,0,Superior,1,Alto
2433.86,2110.9,0,Bueno,54,0,Medio,0,Bajo
3355.06,1484.99,2,Regular,52,0,Medio,1,Medio
3619.71,2420.19,4,Bueno,23,1,Medio,1,Medio
2258.46,1654.62,1,Bueno,23,1,Básico,0,Bajo
2952.38,2073.21,1,Bueno,48,1,Básico,2,Bajo
406.99,3536.05,3,Regular,64,1,Básico,1,Medio
2180.49,1942.36,4,Bueno,35,1,Medio,1,Alto
2797.95,2689.56,4,Bueno,61,0,Superior,2,Medio
2001.77,1578.09,1,Bueno,43,1,Medio,2,Bajo
4305.93,1979.01,0,Regular,60,0,Superior,0,Medio
1855.89,3062.48,3,Regular,31,1,Básico,2,Medio
2647.96,1623.82,4,Regular,52,1,Superior,2,Medio
3104.59,3087.47,1,Bueno,56,0,Superior,2,Bajo
4153.02,2424.65,4,Bueno,53,0,Medio,0,Medio
1851.31,1662.52,3,Regular,44,1,Básico,2,Medio
3930.53,2379.44,3,Bueno,59,1,Superior,2,Medio
3008.19,2583.53,2,Bueno,54,1,Medio,0,Bajo
2214.79,2373.09,1,Regular,48,1,Superior,2,Medio
3369.68,1057.87,3,Malo,57,0,Medio,2,Alto
3159.25,1563.72,2,Regular,27,1,Superior,0,Medio
2519.83,1851.49,2,Regular,24,0,Medio,1,Medio
3055.84,1955.34,4,Malo,57,1,Superior,0,Alto
2691.75,2372.4,4,Bueno,21,0,Superior,2,Medio
3090.81,2106.62,2,Bueno,21,0,Superior,2,Bajo
3529.7,1198.79,4,Malo,40,1,Medio,2,Alto
4268.81,2228.12,3,Bueno,39,0,Superior,0,Medio
2009.75,2366.35,0,Regular,49,1,Medio,2,Medio
4706.43,2335.87,3,Bueno,30,0,Superior,2,Medio
1438.33,2648.47,2,Bueno,38,1,Medio,0,Bajo
2878.57,2500.35,2,Regular,48,0,Superior,1,Medio
3470.65,2275.51,3,Malo,55,1,Básico,1,Alto
3224.79,1957.9,4,Regular,63,1,Superior,2,Medio
2501.84,1003.42,4,Bueno,51,0,Superior,0,Medio
2833.5,2257.77,2,Regular,47,0,Superior,2,Medio
2605.6,2124.61,1,Bueno,31,0,Medio,0,Bajo
2528.51,2162.95,4,Bueno,58,0,Medio,0,Medio
3679.68,1233.95,3,Bueno,25,1,Superior,1,Medio
3285.61,1351.37,4,Bueno,28,0,Medio,1,Medio
2445.67,2631.89,3,Bueno,54,1,Medio,0,Medio
3719.68,1976.27,2,Malo,32,0,Superior,2,Alto
3245.84,2408.9,4,Regular,58,1,Superior,1,Medio
3650.29,2016.99,3,Regular,21,1,Medio,2,Medio
3503.7,2017.85,2,Bueno,51,1,Superior,1,Bajo
2336.8,2562.97,1,Malo,24,1,Superior,1,Alto
2551.86,1690.37,3,Malo,25,0,Básico,2,Alto
3597.83,2057.67,1,Regular,50,0,Superior,1,Medio
3488.3,1722.63,1,Bueno,44,1,Básico,1,Bajo
2983.28,1739.3,0,Bueno,23,0,Medio,2,Bajo
3093.86,1814.5,4,Bueno,31,0,Básico,1,Medio
4022.13,2133.28,3,Bueno,24,1,Básico,1,Medio
2526.74,1712.75,1,Bueno,46,0,Superior,1,Bajo
3437.68,2753.45,0,Malo,47,0,Medio,2,Alto
2838.25,1463.24,2,Bueno,63,0,Medio,0,Bajo
2825.86,1887.88,3,Bueno,47,1,Medio,2,Medio
3879.02,1736.16,1,Bueno,62,0,Medio,0,Bajo
3660.33,2868.19,4,Bueno,26,1,Medio,1,Medio
3650.81,2117.93,0,Bueno,35,0,Medio,0,Bajo
4044.38,2619.11,1,Bueno,50,0,Medio,2,Bajo
3016.8,1108.66,4,Bueno,62,0,Superior,2,Medio
3545.56,2160.23,1,Regular,57,1,Medio,1,Medio
2751.79,2533.78,3,Malo,57,1,Medio,0,Alto
3259.33,2049.37,3,Bueno,62,0,Medio,1,Medio
2895.89,2639.29,3,Bueno,57,1,Superior,1,Medio
3077.6,1689.63,0,Regular,55,0,Medio,2,Medio
3476.13,2845.61,3,Bueno,43,1,Medio,0,Medio
2345.42,3379.34,4,Bueno,26,1,Medio,0,Alto
4673.91,1782.3,1,Regular,24,0,Superior,0,Medio
2195.19,1732.7,2,Bueno,38,0,Medio,0,Bajo
2028.65,2872.03,4,Regular,29,0,Superior,1,Alto
3926.49,2947.74,4,Bueno,49,0,Medio,1,Medio
3633.33,1686.28,3,Bueno,33,1,Medio,2,Medio
3499.3,1747.89,0,Bueno,37,1,Superior,1,Bajo
3502.68,1830.93,1,Regular,52,1,Medio,1,Medio
2990.2,1193.33,0,Bueno,42,0,Superior,2,Bajo
2282.2,1448.81,1,Bueno,24,0,Superior,2,Bajo
3060.64,1397.52,1,Regular,25,1,Superior,2,Medio
2458.27,1539.32,0,Bueno,57,0,Básico,1,Bajo
3780.1,1979.19,4,Bueno,61,1,Superior,1,Medio
2882.35,2140.53,1,Regular,33,1,Medio,2,Medio
2339.6,2930.3,0,Bueno,54,1,Superior,2,Bajo
2742.89,1400.99,1,Regular,42,1,Superior,2,Medio
3330.35,2590.59,2,Regular,43,1,Superior,1,Medio
2549.02,1871.61,4,Regular,23,0,Medio,1,Medio
2342.22,1970.32,3,Bueno,62,0,Medio,0,Medio
3194.95,2404.89,1,Malo,54,0,Básico,1,Alto
3195.97,1326.37,2,Bueno,52,1,Superior,1,Bajo
2594.45,2229.45,3,Regular,41,1,Medio,1,Medio
2623.17,2099.87,3,Bueno,64,1,Medio,2,Medio
3185.64,2295.47,1,Bueno,41,1,Superior,1,Bajo
1841.53,2173.5,0,Bueno,64,0,Medio,2,Bajo
1874.03,3473.18,1,Malo,31,0,Medio,0,Alto
2425.24,1617.36,2,Malo,59,1,Medio,0,Alto
2829.24,1681.4,3,Bueno,24,1,Medio,2,Medio
3248.73,1626.12,1,Bueno,21,1,Medio,2,Bajo
4180.28,1666.71,0,Regular,48,0,Básico,2,Medio
3686.13,1617.57,1,Bueno,44,0,Medio,1,Bajo
2872.05,2713.41,4,Bueno,55,0,Medio,0,Medio
2984.79,2852.3,0,Regular,33,1,Superior,2,Medio
2197.98,1657.55,2,Bueno,54,1,Básico,1,Bajo
2985.19,1500.59,3,Malo,31,0,Medio,0,Alto
2769.07,2282.85,1,Bueno,56,1,Superior,1,Bajo
3258.17,1668.67,0,Bueno,37,0,Básico,0,Bajo
2338.22,2379.76,4,Bueno,55,1,Medio,1,Alto
3415.48,2121.75,0,Regular,38,0,Superior,0,Medio
4226.19,1090.55,4,Bueno,60,1,Superior,0,Medio
2912.99,2928.5,2,Regular,42,0,Superior,1,Medio
3321.37,3077.53,3,Bueno,44,0,Superior,2,Medio
3552.12,1632.33,2,Regular,39,0,Superior,0,Medio
2679.02,1767.38,1,Bueno,57,0,Medio,2,Bajo
3179.27,2171.52,0,Bueno,59,0,Superior,1,Bajo
3010.07,2200.67,4,Regular,41,0,Básico,2,Medio
3078.14,2395.13,4,Bueno,28,1,Superior,2,Medio
2381.59,3206.12,0,Bueno,48,1,Medio,2,Bajo
3019.61,1893.83,0,Regular,25,1,Medio,2,Medio
3398.4,1521.02,1,Bueno,37,0,Medio,2,Bajo
4160.91,1172.41,2,Regular,57,0,Superior,0,Medio
3767.42,1561.44,4,Bueno,56,1,Básico,0,Medio
4722.55,1980.12,1,Regular,39,0,Superior,0,Medio
2386.12,3076.73,2,Bueno,47,0,Superior,1,Bajo
3697.86,1689.43,1,Bueno,54,0,Medio,2,Bajo
3146.67,2134.27,4,Malo,31,0,Superior,0,Alto
4751.84,1990.15,0,Regular,32,0,Superior,1,Medio
2353.36,2713.04,0,Bueno,41,1,Superior,0,Bajo
2328.22,3516.16,2,Bueno,31,1,Medio,0,Bajo
2520.49,1681.48,3,Regular,59,1,Medio,2,Medio
1300.88,1706.34,2,Bueno,48,1,Medio,1,Bajo
2579.4,2626.5,3,Regular,25,1,Medio,2,Medio
2392.69,2409.13,1,Regular,37,0,Superior,2,Medio
3120.32,3108.02,1,Bueno,40,0,Básico,0,Bajo
3273.4,2350.36,4,Bueno,61,0,Superior,2,Medio
4500.94,1784.42,3,Regular,32,0,Medio,1,Medio
3760.34,2354.39,4,Bueno,26,1,Medio,2,Medio
2538.48,2665.22,0,Bueno,37,1,Superior,2,Bajo
2281.27,2492.29,3,Malo,39,1,Superior,2,Alto
3393.54,2304.36,2,Bueno,46,0,Medio,0,Bajo
1943.81,2640.0,0,Regular,64,1,Medio,1,Medio
4465.17,2701.58,0,Bueno,64,0,Medio,0,Bajo
3943.55,2829.3,2,Bueno,52,1,Básico,0,Bajo
2624.66,2389.23,0,Bueno,26,1,Medio,0,Bajo
1629.49,1899.73,3,Bueno,56,0,Medio,0,Medio
4083.1,2088.03,4,Bueno,58,0,Medio,0,Medio
2908.37,2723.91,0,Bueno,31,1,Superior,1,Bajo
3990.25,1509.84,3,Regular,53,1,Medio,2,Medio
1724.46,2221.2,1,Bueno,44,0,Medio,0,Bajo
2520.5,1764.0,3,Bueno,43,1,Medio,0,Medio
3004.19,2017.25,4,Bueno,35,1,Superior,1,Medio
3037.58,2767.07,3,Bueno,47,0,Superior,1,Medio
2639.95,2114.66,2,Bueno,31,1,Medio,2,Bajo
3498.28,2027.86,4,Bueno,37,0,Superior,1,Medio
2145.9,1184.09,1,Bueno,34,1,Medio,2,Bajo
2886.1,2447.75,2,Bueno,47,0,Medio,0,Bajo
3096.24,2387.29,3,Bueno,38,1,Medio,0,Medio
3411.55,3297.95,4,Regular,48,0,Medio,2,Medio
3569.29,1815.33,1,Bueno,24,1,Superior,1,Bajo
2100.29,2131.49,2,Bueno,27,0,Superior,2,Bajo
1772.71,2149.63,1,Regular,55,1,Básico,1,Medio
4022.14,2946.47,3,Bueno,29,1,Superior,0,Medio
3265.85,1942.82,1,Regular,28,1,Medio,1,Medio
2401.21,2167.41,0,Bueno,37,1,Básico,2,Bajo
4240.92,2364.74,2,Bueno,37,1,Medio,2,Bajo
3092.54,2111.97,1,Bueno,53,1,Medio,0,Bajo
3943.44,1732.14,3,Bueno,52,1,Básico,1,Medio
3054.01,2116.45,3,Regular,28,1,Medio,1,Medio
4648.6,2644.18,1,Bueno,39,1,Medio,1,Bajo
4404.27,1384.09,3,Regular,58,0,Medio,0,Medio
2800.83,2079.78,4,Bueno,23,0,Superior,1,Medio
3777.26,1579.93,4,Bueno,25,1,Medio,2,Medio
3516.3,2717.03,4,Bueno,33,0,Superior,1,Medio
4094.91,1086.09,0,Bueno,51,1,Medio,0,Bajo
2228.06,1664.65,1,Bueno,36,1,Superior,1,Bajo
3548.84,2226.33,0,Regular,52,0,Superior,1,Medio
3846.74,2939.31,3,Regular,42,1,Superior,2,Medio
1593.01,1960.55,0,Bueno,49,1,Medio,1,Bajo
2053.39,1666.88,3,Regular,42,0,Superior,2,Medio
1368.61,3128.69,3,Malo,63,0,Medio,2,Alto
2784.47,1131.19,2,Regular,23,1,Medio,0,Medio
3574.03,680.72,4,Bueno,30,0,Medio,2,Medio
4201.89,2264.01,3,Regular,62,0,Medio,2,Medio
3059.28,1698.77,2,Bueno,41,1,Básico,0,Bajo
4302.89,1387.26,4,Malo,36,0,Superior,2,Alto
1895.92,2425.01,3,Bueno,32,0,Superior,0,Medio
1637.29,2146.28,3,Bueno,22,1,Medio,1,Medio
2955.56,1661.55,0,Regular,61,0,Superior,0,Medio
3307.25,1231.82,0,Bueno,44,0,Medio,2,Bajo
2973.84,2523.47,4,Malo,55,1,Superior,0,Alto
1346.05,2390.12,3,Malo,50,1,Medio,2,Alto
2928.7,1940.49,1,Regular,50,1,Básico,1,Medio
1956.42,3107.98,0,Bueno,55,0,Superior,0,Bajo
3535.74,1357.95,4,Regular,39,1,Superior,1,Medio
3293.28,1084.68,3,Bueno,28,1,Superior,2,Medio
2248.1,1584.86,3,Bueno,46,0,Superior,2,Medio
2588.91,1972.65,1,Regular,60,1,Superior,1,Medio
2152.63,2146.0,4,Bueno,27,1,Superior,0,Alto
2949.86,1855.26,3,Bueno,50,1,Superior,0,Medio
3764.11,2211.23,0,Malo,27,1,Superior,2,Alto
2211.42,1249.08,1,Bueno,23,0,Medio,1,Bajo
3403.24,2866.26,4,Bueno,21,1,Superior,1,Medio
2575.79,1950.71,1,Malo,56,1,Medio,0,Alto
2365.7,2670.38,0,Bueno,45,0,Superior,0,Bajo
2914.38,2205.64,4,Regular,57,1,Superior,0,Medio
2171.81,2274.05,1,Malo,21,0,Superior,1,Alto
2557.08,2341.86,2,Malo,35,0,Superior,0,Alto
2041.7,2268.63,0,Regular,57,0,Superior,0,Medio
4571.78,2385.63,0,Bueno,33,1,Medio,2,Bajo
3028.21,2797.49,0,Bueno,60,0,Superior,0,Bajo
2440.22,2117.91,2,Regular,28,0,Medio,0,Medio
3171.18,2425.4,2,Regular,25,0,Básico,1,Medio
2910.14,1946.16,3,Bueno,29,1,Medio,1,Medio
2823.22,2864.07,1,Bueno,21,1,Medio,2,Bajo
3491.33,1594.16,3,Bueno,56,1,Medio,0,Medio
3606.01,3080.56,1,Bueno,55,1,Superior,2,Bajo
2575.6,1975.91,2,Regular,22,1,Medio,1,Medio
2539.35,1141.53,2,Bueno,60,1,Medio,2,Bajo
2779.96,2076.86,3,Malo,43,1,Básico,1,Alto
1158.46,1591.37,4,Regular,29,0,Medio,2,Alto
1787.85,2504.39,3,Bueno,54,0,Superior,2,Medio
4093.5,1608.43,1,Regular,34,0,Básico,0,Medio
4315.97,1732.29,3,Bueno,24,0,Medio,2,Medio
2800.77,866.28,0,Bueno,50,1,Medio,0,Bajo
3461.25,1728.62,1,Regular,51,0,Básico,0,Medio
3249.0,545.67,1,Regular,58,0,Medio,0,Medio
5463.1,1049.66,4,Regular,31,0,Básico,0,Medio
3895.66,2456.25,2,Bueno,55,0,Superior,2,Bajo
2897.67,2471.48,1,Bueno,28,1,Superior,1,Bajo
2235.57,2255.27,2,Regular,23,1,Medio,1,Medio
1714.84,1419.81,3,Bueno,34,1,Superior,1,Medio
3162.77,1971.37,0,Bueno,33,0,Medio,2,Bajo
2394.92,1997.84,4,Bueno,52,1,Medio,0,Alto
1862.2,1304.98,2,Regular,54,0,Superior,1,Medio
2482.74,2902.04,1,Bueno,39,1,Medio,2,Bajo
2134.76,2526.42,2,Regular,58,1,Superior,0,Medio
4349.71,1867.42,1,Malo,36,1,Básico,1,Alto
3705.31,2016.13,2,Bueno,22,1,Medio,0,Bajo
2993.62,2125.03,1,Bueno,60,1,Básico,1,Bajo
4183.96,774.96,3,Bueno,37,0,Superior,1,Medio
3061.89,1851.69,1,Regular,54,1,Superior,1,Medio
2310.97,1590.81,1,Bueno,62,0,Superior,0,Bajo
4218.5,1399.03,0,Bueno,36,0,Medio,2,Bajo
3431.13,1831.34,1,Bueno,58,0,Medio,0,Bajo
2170.2,3078.61,0,Regular,22,0,Básico,1,Medio
2847.73,2384.51,4,Bueno,22,0,Medio,0,Medio
2299.51,1657.29,0,Regular,46,1,Superior,2,Medio
1893.76,2343.55,3,Malo,33,1,Medio,0,Alto
